"Service domain","Address","Service url","Country","Version","# Chains","Status","Scanned Block Height","Balance (POKT)","Stake Type","Output Address","Output Balance (POKT)","Stake Weight","Stake Amount (POKT)","Validator","Jailed","Jailed","Pending Relays","Est. Pending Rewards","Stake From","Missing Blocks","Jailed Blocks","Jailed Until","Unstaking Time"
"com.mt","cc8c1a62cc8ff4e63665cf46b2469a3334bb3f60","https://pocket-04.simply-vc.com.mt:443","United States","RC-0.9.1.1",11,"Staked",74620,31153.3414,"Custodial","cc8c1a62cc8ff4e63665cf46b2469a3334bb3f60",31153.3414,2.362669816893089,80080,"Yes","No","No","-","-",72108,0,0,"Jan 1, 0001 12:00 AM","Nov 10, 2020 12:00 AM"
"tuku.dev","d04dbddf9c98f4fd0b311146a6999bc80a501635","https://pocket11.tuku.dev:443","United States","RC-0.9.1.1",7,"Staked",74620,90513.3926,"Custodial","d04dbddf9c98f4fd0b311146a6999bc80a501635",90513.3926,2.362669816893089,333333,"Yes","No","No",7571,16.3754,71542,0,0,"Jan 1, 0001 12:00 AM","Nov 10, 2020 12:00 AM"
"tuku.dev","d0f21e66804f3b84fe44a3581886948eae25f28a","https://pocket6.tuku.dev:443","United States","RC-0.9.1.1",7,"Staked",74620,3021.0108,"Custodial","d0f21e66804f3b84fe44a3581886948eae25f28a",3021.0108,2.362669816893089,75001,"Yes","No","No",2216,4.793,73860,0,0,"Jan 1, 1970 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","059f632b761efa2594084d1533500c1d0a73992a","https://pocketv1.easy2stake.com:443","United States","ALPHA-0.9.2",15,"Staked",74620,1527.5059,"Custodial","059f632b761efa2594084d1533500c1d0a73992a",1527.5059,2.362669816893089,63499.9365,"Yes","No","No","-","-",73157,0,0,"Oct 14, 2022 10:03 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","366194942380432b4e924ee15810da31f3b3b43b","https://pocketv2.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,3365.3559,"Custodial","366194942380432b4e924ee15810da31f3b3b43b",3365.3559,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","68cad0012c986766a09ba2f7c8bee9ef987e8825","https://pocketv3.easy2stake.com:443","United States","ALPHA-0.9.2",15,"Staked",74620,1846.4292,"Custodial","68cad0012c986766a09ba2f7c8bee9ef987e8825",1846.4292,2.362669816893089,63299.9367,"Yes","No","No","-","-",73259,0,0,"Oct 14, 2022 11:33 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","8c3a7c2b9eb28e97c76ec1c1a0b45e5bd11f6a97","https://pocketv4.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,1351.8745,"Custodial","8c3a7c2b9eb28e97c76ec1c1a0b45e5bd11f6a97",1351.8745,2.362669816893089,65000,"Yes","No","No",16026,34.6627,73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","8f0f1e42cdeec02ff0181bffebc7ae799b97e5fb","https://pocketv5.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,2392.7508,"Custodial","8f0f1e42cdeec02ff0181bffebc7ae799b97e5fb",2392.7508,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","91ce7a4eb88fce4588f13a53c7034a8b812319ca","https://pocketv6.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,2159.2416,"Custodial","91ce7a4eb88fce4588f13a53c7034a8b812319ca",2159.2416,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","aa5bd0aa86732982a2fcfc5340df0043a257a172","https://pocketv7.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,1484.2274,"Custodial","aa5bd0aa86732982a2fcfc5340df0043a257a172",1484.2274,2.362669816893089,65000,"Yes","No","No",887,1.9185,73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
